;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
schrapnel_standard_design;Schrapnel Standard Design;;;;;;;;;;;;;;;;;;;;;;;x;;;;
schrapnel_standard_design_desc;Shrapnel shells were anti-personnel artillery munitions which carried a large number of individual bullets close to the target and then ejected them to allow them to continue along the shell's trajectory and strike the target individually. They relied almost entirely on the shell's velocity for their lethality. The final shrapnel shell design bore little similarity to Henry Shrapnel's original design, marking the quick evolution of technology at the time.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
barbed_wire_defense;Barbed Wire Defense;;;;;;;;;;;;;;;;;;;;;;;x;;;;
barbed_wire_defense_desc;Barbed wire is a type of steel fencing wire constructed with sharp edges or points arranged at intervals along the strand. It is used to construct inexpensive fences and is used atop walls or as a major feature of the fortifications in trench warfare, stopping infantry charges.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
helmet_mass_production;Helmet Mass Production;;;;;;;;;;;;;;;;;;;;;;;x;;;;
helmet_mass_production_desc;The use of artillery and modern machine guns renewed the need for steel helmets. They quickly became  the standard among armed forces, from the French Adrian and the British Brodie to the German Stahlhelm. By the 20th century, such helmets offered protection for the head from shrapnel and fragments as well as for specialist roles.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
camouflage_uniforms;Camouflage Uniforms;;;;;;;;;;;;;;;;;;;;;;;x;;;;
camouflage_uniforms_desc;Camouflage is the use of any combination of materials, coloration, or illumination for concealment, either by making the target hard to see, or by disguising them as something else. With the raise in mortality of modern warfare, it seemed prudent to make our soldiers harder to kill by replacing the traditional uniforms.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
rotary_kiln;Rotary Kiln;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rotary_kiln_desc;The Rotary "endless" kiln gives perfect control over combustion and produces a better grade of cement. The kiln is a cylindrical vessel, inclined slightly to the horizontal, which is rotated slowly about its axis. The material to be processed is fed into the upper end of the cylinder. As the kiln rotates, material gradually moves down towards the lower end, and may undergo a certain amount of stirring and mixing. Hot gases pass along the kiln, sometimes in the same direction as the process material, but usually in the opposite direction. The hot gases may be generated in an external furnace, or may be generated by a flame inside the kiln.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stiff_plastic_brickmaking_machine;Stiff-Plastic Brickmaking Machine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stiff_plastic_brickmaking_machine_desc;In the machines used in the stiff-plastic process the previously powdered and screened clay is mixed into a stiff-plastic, granular material, which is afterwards compressed into a stiff paste. The mixing may be made in a trough-mixer or in a pug-mill. The shaping of bricks by the stiff-plastic process take places in two parts: the clot or roughly shaped brick which is made by mechanically forcing the stiff paste into a mould and the brick which is made by pressing the clot.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puddling;Puddling Process;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hot_blast;Hot Blast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
electric_furnace;Electric Arc Furnace;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
bessemer_process;Bessemer Process;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
advanced_metallurgy;Open Hearth Furnace;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
pneumatic_and_hydraulics;Pneumatic and Hydraulics;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
